"סקציה","#","מה ביקשו","סטטוס","אחראי","הערות","משוב שלכם"
"כללי","1","נוסח כפתור -> אני רוצה לעזור לכלב","בוצע","אני",""
"כללי","2","כפתור לתרום באמצע מבין 3","בוצע","אני","הודגש בטורקיז כדי לבלוט"
"כללי","3","וואטסאפ ראשי -> 052-8296622","בוצע","אני","הוחלט: מספר האימוצים נשאר נפרד 054-4868810"
"כללי","4","אינסטגרם -> lives.of.others.rescue","בוצע","אני",""
"כללי","5","פלטת צבעים כחול/לבן","בוצע","אני / אתם","יושמה פלטה 3 (כחול+טורקיז). 5 אופציות בעמוד palette-options.html — ההחלטה פתוחה לכם"
"1 · Hero","6","סרטון פעילות מתחת לכותרת","טיוטה","אני / אתם","montage מקטעי כלבים חמודים; לגרסה סופית צריך עריכה מקצועית"
"1 · Hero","7","כותרת + כותרת משנה חדשות","בוצע","אני",""
"1 · Hero","8","פסקה + משפט מסכם","בוצע","אני",""
"2 · מספרים","9","זוגות לפני/אחרי (מתחלף בהובר)","בוצע","אני","רוחמה, אומץ, מלכה, ג'וניור, רמון, מייקי, לורה, ג'ון"
"2 · מספרים","10","2 מונים בלבד (2843 / 80000+)","בוצע","אני",""
"2 · מספרים","11","מספרים רצים","בוצע","אני",""
"2 · מספרים","12","כפתור לתרומה להצלת כלב","בוצע","אני",""
"3 · סיפור","13","סרטון בסקציה","בוצע","אני","שובצה כתבת ערוץ 12 (עם סאונד)"
"3 · סיפור","14","הסרת משפט + טקסט חדש","בוצע","אני",""
"4 · צוות","15","תמונות צוות עם שמות (7)","בוצע","אני","דבורה, טלי, רן, לזי, עדי, ברי, יונתן"
"5 · מה מייחד","16","כותרת חדשה","בוצע","אני",""
"5 · מה מייחד","17","פסקה + הדגשת בבתים קסומים","בוצע","אני",""
"5 · מה מייחד","18","סרטון ערוץ 12 אחרי הטקסט","בוצע","אני","הערה: הכתבה מופיעה גם בסקציה 3 — להחליט אם להשאיר בשתיהן"
"5 · מה מייחד","19","3 כפתורים בתחתית","בוצע","אני",""
"6 · הנצחות","20","מצדיעים לזכרם + הסרת ישן","בוצע","אני",""
"6 · הנצחות","21","עדי צור: תמונות+טקסט+הסרת כפתור","בוצע","אני","תמונה עם לני + תמונה משנית מוגדלת"
"6 · הנצחות","22","שני גבאי: תמונות+מלל+הסרת כפתור","בוצע","אני","תמונה משנית נחתכה מצילום אינסטגרם"
"6 · הנצחות","23","יאיר כץ: תמונה+משפט+הסרת כפתור","בוצע","אני",""
"6 · הנצחות","24","עמוד תרומה ייעודי לכל נופל","להחלטה","אתם","בינתיים כל הכפתורים -> לינק תרומה כללי"
"7 · כלבים","25","כותרת בואו להכיר את הכלבים שלנו","בוצע","אני",""
"7 · כלבים","26","לחיצה על כלב -> עמוד מלא (מודאל+קרוסלה)","בוצע","אני","קרוסלה רצה אוטומטית + חיצים"
"7 · כלבים","27","9 כלבים חדשים + סיפורים","בוצע","אני","שוקי, בובי, לורה, פיל, גילי, ג'וניור, קופר, מיכה, בלה"
"7 · כלבים","28","2 כפתורים: אמצו + אימוץ וירטואלי","בוצע","אני",""
"7 · כלבים","29","5+ תמונות לכל כלב","חסום","אתם","חסר: קופר, מיכה, בלה (placeholder), ג'וניור. יש: שוקי7, בובי5, פיל6, גילי4, לורה5"
"7 · כלבים","30","גיל לכל כלב","חסום","אתם","ידוע: מיכה 10, קופר כ-8. חסר לשאר"
"7 · כלבים","31","מה מוצג מתחת לתמונה","בוצע","אני","שם + משפט קצר + מין"
"7 · כלבים","32","כפתור אמצו אותי -> ?","בוצע","אני","הוחלט: וואטסאפ ישיר עם הודעה מוכנה"
"7 · כלבים","33","כל כפתורי תרומה -> אותו לינק","בוצע","אני","לינקים מותאמים יגיעו מכם"
"7 · כלבים","34","עמוד אימוץ וירטואלי ייעודי","בוצע","אני","נבנה virtual-adoption.html + מחובר לתפריט"
"סיפורים מהלב","35","תמונות לא מתאימות לסיפורים","חסום","אתם","תוקן: ברוס+לני. צריך תמונות: רוני ולונה, רני, בל, אקי"
"התנדבות","36","תוכן התנדבות מלא","בוצע","אני",""
"התנדבות","37","טקסט סגירה","בוצע","אני",""
"התנדבות","38","מפה + כתובת בית המחסה","חסום","אתם","כרגע מפה בקרוב"
"כללי","39","עדכון עמוד אנגלית (EN)","חסום","אני","עיצוב חל אוטומטית; תוכן עדיין ישן"
"כללי","40","סרטונים מקצועיים סופיים","חסום","אתם","כרגע טיוטות ffmpeg ללא כתוביות"
"","","","","",""
"— משוב העמותה —","","מלאו כאן למטה:","","",""
"משוב","","איזו פלטה בחרתם? (1-5)","","",""
"משוב","","מה הכי חשוב לתקן?","","",""
"משוב","","טקסטים לתיקון:","","",""
"משוב","","הערות נוספות:","","",""
